@relation MyRelation

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute y1 numeric
@attribute y2 numeric
@attribute y3 numeric
@attribute y4 numeric
@attribute y5 numeric
@attribute y6 numeric
@attribute z1 numeric
@attribute z2 numeric
@attribute z3 numeric
@attribute z4 numeric
@attribute z5 numeric
@attribute z6 numeric
@attribute or0 numeric
@attribute or1 numeric
@attribute or2 numeric
@attribute or3 numeric
@attribute or4 numeric
@attribute or5 numeric
@attribute or6 numeric
@attribute or7 numeric
@attribute or8 numeric
@attribute att7 {eating,non-eating}

@data
715.840027,164.759995,-652.47998,1409.861816,44335.667969,1908.856812,792,448,-512,624,-192,-792,9.005025,14.43216,24.924623,168,640,280,49,139.835388,129.840775,5.399943,?,139.835388,129.840775,5.399943,?,eating
707.23999,305.839996,-634.440002,565.452271,6328.42334,1572.141968,768,472,-536,648,8,-736,7.115578,10.693467,23.758795,120,464,200,47,138.770203,132.071045,5.627049,?,138.770203,132.071045,5.627049,?,eating
709.880005,371.040009,-593.359985,397.801514,388.206665,2587.123047,760,432,-440,632,312,-792,8.482412,10.452261,27.537689,128,120,352,56,139.625839,132.219955,4.759597,?,139.625839,132.219955,4.759597,?,eating
677.080017,345.279999,-647,237.43718,3381.022217,3165.860596,720,480,-504,640,248,-744,7.396985,10.974874,23.758795,80,232,240,38,135.893677,130.775848,6.822011,?,135.893677,130.775848,6.822011,?,eating
656.440002,401.799988,-609.47998,1027.355469,18507.537109,14044.692383,752,792,-184,544,248,-784,10.894472,16.321608,35.095478,208,544,600,38,134.613144,123.405251,6.724667,?,134.613144,123.405251,6.724667,?,eating
672.23999,295.200012,-660,458.574127,24517.462891,10270.226563,744,616,-392,632,64,-800,7.919598,14.633165,23.839195,112,552,408,35,137.987778,129.996536,7.347384,?,137.987778,129.996536,7.347384,?,eating
691.280029,342.440002,-622.200012,413.662048,15058.779297,2303.643311,744,496,-496,648,-32,-776,8.120603,13.587939,23.557789,96,528,280,42,138.386826,131.597519,6.230414,?,138.386826,131.597519,6.230414,?,eating
650,493.679993,-529.919983,4028.957275,26791.613281,12771.859375,720,880,-272,496,176,-752,8.763819,12.582914,21.105528,224,704,480,48,135.174667,121.411804,5.401015,?,135.174667,121.411804,5.401015,?,eating
655.559998,471.359985,-574.919983,121.07412,7866.143066,8330.74707,688,656,-328,624,336,-744,7.155779,10.733668,24.603016,64,320,416,40,133.366379,128.683716,6.408324,?,133.366379,128.683716,6.408324,?,eating
728,213,-651.359985,1502.575317,7635.254395,3766.268799,816,416,-504,656,-48,-840,8.281407,11.296482,25.567839,160,464,336,45,142.971985,131.099503,5.974715,?,142.971985,131.099503,5.974715,?,eating
